ID:       	Date:          	Name:                                                                   	Entrants: 	Url:                                                                                         
57390     	2017-11-04     	The SMALL HOUSE Melee Tourney : hosted by ER Smash                      	9         	https://smash.gg/tournament/the-small-house-melee-tourney-hosted-by-er-smash                 
3973871   	2017-11-05     	Los Levels #7                                                           	13        	http://challonge.com/rph6ky55                                                                
3979181   	2017-11-06     	Last Stock SD 131 - Singles - 11-06-2017                                	29        	http://sdmelee.challonge.com/LSSD131singles                                                  
61259     	2017-11-06     	Downtime Downsmash #5                                                   	22        	https://smash.gg/tournament/downtime-downsmash-5                                             
62033     	2017-11-07     	Training Mode Tuesdays #30                                              	31        	https://smash.gg/tournament/training-mode-tuesdays-30                                        
3980676   	2017-11-07     	UCI Weekly 39                                                           	46        	http://challonge.com/UCIWeekly39                                                             
3980510   	2017-11-07     	Los Levels #8                                                           	7         	http://challonge.com/ml0gem8t                                                                
61110     	2017-11-07     	Melee Monday XIV                                                        	14        	https://smash.gg/tournament/melee-monday-xiv                                                 
62174     	2017-11-08     	Smash At The Block #6                                                   	17        	https://smash.gg/tournament/smash-at-the-block-6                                             
3985329   	2017-11-08     	UnTILTed: Freelogoservices                                              	13        	http://challonge.com/ariq6aui                                                                
3983465   	2017-11-08     	SMC Melee #3                                                            	18        	http://challonge.com/l9yssia0                                                                
62234     	2017-11-09     	Smash @ Power 9 #56                                                     	59        	https://smash.gg/tournament/smash-power-9-56                                                 
3991608   	2017-11-10     	The Cougar Clash 22 - Singles - 11-10-2017                              	22        	http://sdmelee.challonge.com/TCC22singles                                                    
3988443   	2017-11-10     	Smash at BR Bi-weekly 11/9/17                                           	13        	http://challonge.com/BRBW11_9_17                                                             
62770     	2017-11-11     	Friday Night Turnip #76                                                 	51        	https://smash.gg/tournament/friday-night-turnip-76                                           
3994747   	2017-11-11     	Triton Melee Biweekly 5 - Singles - 11-11-2017	                         	38        	http://sdmelee.challonge.com/TMBiweekly5singles                                              
46640     	2017-11-12     	Orange County Melee Arcadian                                            	128       	https://smash.gg/tournament/orange-county-melee-arcadian                                     
3995305   	2017-11-12     	Los Levels #9                                                           	15        	http://challonge.com/5uqv9lhn                                                                
4002251   	2017-11-13     	Last Stock SD 132 - Singles - 11-13-2017                                	39        	http://sdmelee.challonge.com/LSSD132singles                                                  
63567     	2017-11-13     	Melee Monday XV                                                         	15        	https://smash.gg/tournament/melee-monday-xv                                                  
62769     	2017-11-14     	Training Mode Tuesdays #31                                              	63        	https://smash.gg/tournament/training-mode-tuesdays-31                                        
4002055   	2017-11-14     	Los Levels #10                                                          	12        	http://challonge.com/apclkysr                                                                
64729     	2017-11-15     	Smash At The Block #7                                                   	20        	https://smash.gg/tournament/smash-at-the-block-7                                             
62231     	2017-11-16     	Smash @ Power 9 #57                                                     	39        	https://smash.gg/tournament/smash-power-9-57                                                 
4007357   	2017-11-16     	UnTILTed: Falco Edition                                                 	11        	http://challonge.com/ww7y075m                                                                
4013570   	2017-11-17     	SDSU Biweekly 75 - Singles - 11-17-2017                                 	33        	http://sdmelee.challonge.com/SDSU75singles                                                   
63949     	2017-11-17     	USC Biweekly 30                                                         	14        	https://smash.gg/tournament/usc-biweekly-30                                                  
65783     	2017-11-18     	Friday Night Turnip #77                                                 	32        	https://smash.gg/tournament/friday-night-turnip-77                                           
61873     	2017-11-18     	Elysium #3                                                              	64        	https://smash.gg/tournament/elysium-3                                                        
4001664   	2017-11-18     	SB Brew Rebellion 11/2017                                               	30        	http://challonge.com/SBBR11_17                                                               
4013700   	2017-11-18     	Smash at the Den F17 #3 - Melee                                         	23        	http://challonge.com/uclamelee_f17_3                                                         
56779     	2017-11-19     	SUPER Smash Odyssey                                                     	48        	https://smash.gg/tournament/super-smash-odyssey                                              
4020909   	2017-11-20     	Last Stock SD 133 - Singles - 11-20-2017                                	46        	http://sdmelee.challonge.com/LSSD133singles                                                  
65682     	2017-11-20     	Downtime Downsmash #6                                                   	18        	https://smash.gg/tournament/downtime-downsmash-6                                             
66159     	2017-11-21     	Training Mode Tuesdays #32                                              	56        	https://smash.gg/tournament/training-mode-tuesdays-32                                        
4023017   	2017-11-21     	UCI Weekly 41                                                           	48        	http://challonge.com/UCIWeekly41                                                             
4022785   	2017-11-21     	Los Levels #11                                                          	13        	http://challonge.com/42occc0e                                                                
64750     	2017-11-21     	Melee Monday XVI                                                        	13        	https://smash.gg/tournament/melee-monday-xvi                                                 
4027826   	2017-11-23     	UnTILTed Shine Edition                                                  	20        	http://challonge.com/rexvll0y                                                                
4036867   	2017-11-26     	Los Levels #12                                                          	9         	http://challonge.com/8qamulyn                                                                
4042692   	2017-11-27     	Last Stock SD 134 - Singles - 11-27-2017                                	29        	http://sdmelee.challonge.com/LSSD134singles                                                  
67000     	2017-11-28     	Training Mode Tuesdays #33                                              	32        	https://smash.gg/tournament/training-mode-tuesdays-33                                        
4042737   	2017-11-28     	UCI Weekly 42                                                           	30        	http://challonge.com/UCIWeekly42                                                             
4042592   	2017-11-28     	Los Levels #13                                                          	11        	http://challonge.com/shtc9vrp                                                                
66785     	2017-11-28     	Melee Monday XVII                                                       	7         	https://smash.gg/tournament/melee-monday-xvii                                                
67516     	2017-11-29     	Smash At The Block #8                                                   	11        	https://smash.gg/tournament/smash-at-the-block-8                                             
64895     	2017-11-30     	Smash @ Power 9 #58                                                     	55        	https://smash.gg/tournament/smash-power-9-58                                                 
4053548   	2017-12-01     	FNT 78                                                                  	27        	http://challonge.com/fnt78                                                                   
67227     	2017-12-01     	USC Biweekly 31: Fall 2017 Finale                                       	8         	https://smash.gg/tournament/usc-biweekly-31-fall-2017-finale-1                               
37896     	2017-12-02     	Pat's House 3                                                           	299       	https://smash.gg/tournament/pat-s-house-3                                                    
4057261   	2017-12-03     	Los Levels #14                                                          	6         	http://challonge.com/9d6s24zz                                                                
68579     	2017-12-04     	Downtime Downsmash #7                                                   	9         	https://smash.gg/tournament/downtime-downsmash-7                                             
68373     	2017-12-05     	Training Mode Tuesdays #34                                              	31        	https://smash.gg/tournament/training-mode-tuesdays-34                                        
4063060   	2017-12-05     	UCI Weekly 43                                                           	38        	http://challonge.com/UCIWeekly43                                                             
4063056   	2017-12-05     	Los Levels #15                                                          	6         	http://challonge.com/u7idq31e                                                                
68227     	2017-12-05     	Melee Monday XVIII                                                      	10        	https://smash.gg/tournament/melee-monday-xviii                                               
69017     	2017-12-06     	Smash At The Block #9                                                   	12        	https://smash.gg/tournament/smash-at-the-block-9                                             
69315     	2017-12-07     	Smash @ Power 9 #59                                                     	36        	https://smash.gg/tournament/smash-power-9-59                                                 
4071296   	2017-12-07     	BR Biweekly Melee Tournament 12_7_17                                    	16        	http://challonge.com/brbwms12_7_17                                                           
4074499   	2017-12-09     	Friday Night Turnip #79                                                 	26        	http://challonge.com/fnt79                                                                   
4084220   	2017-12-11     	Last Stock SD 135 - Singles - 12-10-2017                                	26        	http://sdmelee.challonge.com/LSSD135singles                                                  
70268     	2017-12-12     	Training Mode Tuesdays #35                                              	30        	https://smash.gg/tournament/training-mode-tuesdays-35                                        
4084542   	2017-12-12     	Los Levels #16                                                          	8         	http://challonge.com/a0c4mo02                                                                
70795     	2017-12-14     	Smash @ Power 9 #60                                                     	32        	https://smash.gg/tournament/smash-power-9-60                                                 
4089466   	2017-12-14     	UnTILTed: Reminisce                                                     	18        	http://challonge.com/xhobbmn7                                                                
4095660   	2017-12-15     	Last Stock SD 136 - Singles - 12-15-2017                                	13        	http://sdmelee.challonge.com/LSSD136singles                                                  
71115     	2017-12-16     	Friday Night Turnip #80                                                 	27        	https://smash.gg/tournament/friday-night-turnip-80                                           
69019     	2017-12-16     	Elysium #4                                                              	52        	https://smash.gg/tournament/elysium-4                                                        
4104532   	2017-12-18     	Last Stock SD 137 - Singles - 12-18-2017                                	35        	http://sdmelee.challonge.com/LSSD137singles                                                  
71403     	2017-12-19     	Training Mode Tuesdays #36                                              	72        	https://smash.gg/tournament/training-mode-tuesdays-36                                        
4104338   	2017-12-19     	The Levels #17                                                          	21        	http://challonge.com/19moqe20                                                                
71282     	2017-12-19     	Melee Monday 20                                                         	12        	https://smash.gg/tournament/melee-monday-20                                                  
71806     	2017-12-21     	Smash @ Power 9 #61                                                     	48        	https://smash.gg/tournament/smash-power-9-61                                                 
4115550   	2017-12-22     	The Cougar Clash 24 - Singles - 12-22-2017                              	24        	http://sdmelee.challonge.com/TCC24singles                                                    
4113038   	2017-12-22     	BR Biweekly Melee Tournament 12_21_17                                   	4         	http://challonge.com/brbwms12_21                                                             
71934     	2017-12-23     	Friday Night Turnip #81                                                 	33        	https://smash.gg/tournament/friday-night-turnip-81                                           
4118271   	2017-12-24     	The Levels #18                                                          	13        	http://challonge.com/kyq2g2hn                                                                
71815     	2017-12-28     	Smash @ Power 9 #62                                                     	95        	https://smash.gg/tournament/smash-power-9-62                                                 
4132162   	2017-12-29     	Last Stock SD 138 - Singles - 12-29-2017                                	35        	http://sdmelee.challonge.com/LSSD138Singles                                                  
72235     	2017-12-30     	Friday Night Turnip #82                                                 	40        	https://smash.gg/tournament/friday-night-turnip-82                                           
4133052   	2017-12-30     	SB Brew Rebellion 12/2017                                               	12        	http://challonge.com/sbbr12_17                                                               
4133363   	2017-12-31     	Los Levels #19                                                          	26        	http://challonge.com/9dsocvm7                                                                
4140355   	2018-01-02     	Last Stock SD 139 - Singles - 01-01-2018                                	36        	http://sdmelee.challonge.com/LSSD139singles                                                  
4140296   	2018-01-02     	Los Levels #20                                                          	17        	http://challonge.com/kl9dv651                                                                
4142399   	2018-01-03     	Los Levels #21                                                          	13        	http://challonge.com/e82vo3dl                                                                
4143943   	2018-01-03     	SMC Melee #5                                                            	7         	http://challonge.com/bvra722m                                                                
72864     	2018-01-04     	Nimbus #1                                                               	132       	https://smash.gg/tournament/nimbus-1                                                         
4150392   	2018-01-05     	The Cougar Clash 25 - Singles - 01-05-2018                              	24        	http://sdmelee.challonge.com/TCC25Singles                                                    
73780     	2018-01-06     	Friday Night Turnip #83                                                 	48        	https://smash.gg/tournament/friday-night-turnip-83                                           
4149757   	2018-01-06     	Dos Levels #22                                                          	8         	http://challonge.com/9dful2jm                                                                
4158814   	2018-01-08     	Last Stock SD 140 - Singles - 01-08-2018	                               	31        	http://sdmelee.challonge.com/LSSD140singles                                                  
4158966   	2018-01-09     	UCI Weekly 44                                                           	64        	http://challonge.com/UCIWeekly44                                                             
4158314   	2018-01-09     	Los Levels #23                                                          	17        	http://challonge.com/s37btrw9                                                                
4163243   	2018-01-10     	SMC Melee #6                                                            	8         	http://challonge.com/x28b41vg                                                                
74432     	2018-01-11     	Nimbus #2                                                               	100       	https://smash.gg/tournament/nimbus-2                                                         
